id	gender	age	org_type	role	info_work	info_org	info_vision	info_change	info_intracomm	info_mgmttrust	role_category	gender_binary	gender_category	organization_category	comment	comment_unique	sentiment	rephrased_comment	profile_presentation
14	2	1970	2	2	4	2	3	2	1	3	Coworker	2.0	Male	Private	I am a 46 year old Male Coworker and I work in a Private organization.	As a Male aged 46, I work as a Coworker in the Private sector.	positive	I am happy to say that As a Male aged 46, I work as a Coworker in the Private sector.	I am happy to say that As a Male aged 46, I work as a Coworker in the Private sector. I love to explore new horizons. I am an avid coffee lover and a bookworm. I am an avid coffee lover and a bookworm. Nature and music are my two biggest inspirations. In my free time, I enjoy reading and hiking. I am a firm believer in the power of positivity. Helping others and giving back to the community is important to me. I am always up for a new adventure. In my free time, I enjoy reading and hiking....
16	2	1956	2	1	2	4	4	3	2	4	Communicator	2.0	Male	Private	I am a 60 year old Male Communicator and I work in a Private organization.	In the Private industry, I serve as a Communicator and I'm a Male born in 60.	positive	I am happy to say that In the Private industry, I serve as a Communicator and I'm a Male born in 60.	I am happy to say that In the Private industry, I serve as a Communicator and I'm a Male born in 60. I am a firm believer in the power of positivity. Nature and music are my two biggest inspirations. I believe in continuous learning and self-improvement. Nature and music are my two biggest inspirations. I believe in continuous learning and self-improvement. I am always up for a new adventure. Traveling and meeting new people is my passion. I am always up for a new adventure. I love to explore...
18	2	1961	2	1	5	5	4	5	4	5	Communicator	2.0	Male	Private	I am a 55 year old Male Communicator and I work in a Private organization.	Being a Male from 55, my role in the Private world is Communicator.	neutral	It is a fact that Being a Male from 55, my role in the Private world is Communicator.	It is a fact that Being a Male from 55, my role in the Private world is Communicator. Creativity and innovation drive me. I believe in continuous learning and self-improvement. In my free time, I enjoy reading and hiking. I am an avid coffee lover and a bookworm. I love to explore new horizons. I am always up for a new adventure. I am an avid coffee lover and a bookworm. I love to explore new horizons. I am an avid coffee lover and a bookworm. I believe in continuous learning and self-...
19	2	1955	2	2	5	2	4	2	2	4	Coworker	2.0	Male	Private	I am a 61 year old Male Coworker and I work in a Private organization.	I, a Male born in 61, proudly represent the Coworker community in the Private domain.	positive	Fortunately, I, a Male born in 61, proudly represent the Coworker community in the Private domain.	Fortunately, I, a Male born in 61, proudly represent the Coworker community in the Private domain. I am a firm believer in the power of positivity. I am an avid coffee lover and a bookworm. I believe in continuous learning and self-improvement. Traveling and meeting new people is my passion. Traveling and meeting new people is my passion. I am always up for a new adventure. I am always up for a new adventure. Helping others and giving back to the community is important to me. Traveling and...
20	2	1966	2	2	5	4	4	4	3	5	Coworker	2.0	Male	Private	I am a 50 year old Male Coworker and I work in a Private organization.	Being a Male from 50, my role in the Private world is Coworker.	negative	Unfortunately, Being a Male from 50, my role in the Private world is Coworker.	Unfortunately, Being a Male from 50, my role in the Private world is Coworker. Helping others and giving back to the community is important to me. I am a firm believer in the power of positivity. Traveling and meeting new people is my passion. I am an avid coffee lover and a bookworm. I am an avid coffee lover and a bookworm. Traveling and meeting new people is my passion. In my free time, I enjoy reading and hiking. Creativity and innovation drive me. I am always up for a new adventure....
21	1	1974	2	3	4	4	5	3	1	4	Manager	1.0	Female	Private	I am a 42 year old Female Manager and I work in a Private organization.	As a Female aged 42, I work as a Manager in the Private sector.	neutral	Simply put, As a Female aged 42, I work as a Manager in the Private sector.	Simply put, As a Female aged 42, I work as a Manager in the Private sector. In my free time, I enjoy reading and hiking. In my free time, I enjoy reading and hiking. Helping others and giving back to the community is important to me. Creativity and innovation drive me. I love to explore new horizons. I am a firm believer in the power of positivity. I am always up for a new adventure. Creativity and innovation drive me. In my free time, I enjoy reading and hiking. I am always up for a new...
22	1	1968	2	2	4	3	3	4	3	3	Coworker	1.0	Female	Private	I am a 48 year old Female Coworker and I work in a Private organization.	As a Female aged 48, I work as a Coworker in the Private sector.	neutral	Simply put, As a Female aged 48, I work as a Coworker in the Private sector.	Simply put, As a Female aged 48, I work as a Coworker in the Private sector. Nature and music are my two biggest inspirations. In my free time, I enjoy reading and hiking. Helping others and giving back to the community is important to me. I am an avid coffee lover and a bookworm. Nature and music are my two biggest inspirations. Traveling and meeting new people is my passion. Creativity and innovation drive me. I believe in continuous learning and self-improvement. Creativity and innovation...
23	2	1963	2	1	4	5	4	3	3	5	Communicator	2.0	Male	Private	I am a 53 year old Male Communicator and I work in a Private organization.	As a Male aged 53, I work as a Communicator in the Private sector.	positive	I am proud that As a Male aged 53, I work as a Communicator in the Private sector.	I am proud that As a Male aged 53, I work as a Communicator in the Private sector. I am a firm believer in the power of positivity. Traveling and meeting new people is my passion. I love to explore new horizons. Nature and music are my two biggest inspirations. I am an avid coffee lover and a bookworm. Nature and music are my two biggest inspirations. Creativity and innovation drive me. I believe in continuous learning and self-improvement. I am a firm believer in the power of positivity....
24	2	1977	2	2	4	4	4	4	3	4	Coworker	2.0	Male	Private	I am a 39 year old Male Coworker and I work in a Private organization.	In the Private industry, I serve as a Coworker and I'm a Male born in 39.	neutral	In general, In the Private industry, I serve as a Coworker and I'm a Male born in 39.	In general, In the Private industry, I serve as a Coworker and I'm a Male born in 39. I am a firm believer in the power of positivity. Nature and music are my two biggest inspirations. Traveling and meeting new people is my passion. Helping others and giving back to the community is important to me. Nature and music are my two biggest inspirations. Helping others and giving back to the community is important to me. I am an avid coffee lover and a bookworm. I am a firm believer in the power of...
25	1	1969	2	2	3	2	5	4	4	5	Coworker	1.0	Female	Private	I am a 47 year old Female Coworker and I work in a Private organization.	As a Female aged 47, I work as a Coworker in the Private sector.	negative	I wish it weren't so, but As a Female aged 47, I work as a Coworker in the Private sector.	I wish it weren't so, but As a Female aged 47, I work as a Coworker in the Private sector. Nature and music are my two biggest inspirations. Traveling and meeting new people is my passion. I love to explore new horizons. Helping others and giving back to the community is important to me. Nature and music are my two biggest inspirations. In my free time, I enjoy reading and hiking. Creativity and innovation drive me. I believe in continuous learning and self-improvement. I am an avid coffee...
26	1	1975	2	2	4	4	4	4	3	4	Coworker	1.0	Female	Private	I am a 41 year old Female Coworker and I work in a Private organization.	In the Private industry, I serve as a Coworker and I'm a Female born in 41.	negative	I regret to say that In the Private industry, I serve as a Coworker and I'm a Female born in 41.	I regret to say that In the Private industry, I serve as a Coworker and I'm a Female born in 41. In my free time, I enjoy reading and hiking. Traveling and meeting new people is my passion. Creativity and innovation drive me. I believe in continuous learning and self-improvement. I am a firm believer in the power of positivity. I am a firm believer in the power of positivity. I love to explore new horizons. Traveling and meeting new people is my passion. I am always up for a new adventure. I...
28	2	1951	2	1	5	5	5	4	4	5	Communicator	2.0	Male	Private	I am a 65 year old Male Communicator and I work in a Private organization.	I, a Male born in 65, proudly represent the Communicator community in the Private domain.	negative	Unfortunately, I, a Male born in 65, proudly represent the Communicator community in the Private domain.	Unfortunately, I, a Male born in 65, proudly represent the Communicator community in the Private domain. Creativity and innovation drive me. I am a firm believer in the power of positivity. I love to explore new horizons. I love to explore new horizons. I am an avid coffee lover and a bookworm. Nature and music are my two biggest inspirations. I am a firm believer in the power of positivity. Nature and music are my two biggest inspirations. I believe in continuous learning and self-improvement.
29	1	1956	2	2	5	4	3	3	3	5	Coworker	1.0	Female	Private	I am a 60 year old Female Coworker and I work in a Private organization.	I, a Female born in 60, proudly represent the Coworker community in the Private domain.	neutral	It is a fact that I, a Female born in 60, proudly represent the Coworker community in the Private domain.	It is a fact that I, a Female born in 60, proudly represent the Coworker community in the Private domain. Helping others and giving back to the community is important to me. I am always up for a new adventure. Traveling and meeting new people is my passion. Helping others and giving back to the community is important to me. In my free time, I enjoy reading and hiking. I believe in continuous learning and self-improvement. I believe in continuous learning and self-improvement. Helping others...
30	2	1965	2	2	4	3	3	3	2	4	Coworker	2.0	Male	Private	I am a 51 year old Male Coworker and I work in a Private organization.	In the Private industry, I serve as a Coworker and I'm a Male born in 51.	neutral	Simply put, In the Private industry, I serve as a Coworker and I'm a Male born in 51.	Simply put, In the Private industry, I serve as a Coworker and I'm a Male born in 51. Traveling and meeting new people is my passion. Helping others and giving back to the community is important to me. Creativity and innovation drive me. In my free time, I enjoy reading and hiking. I am always up for a new adventure. I love to explore new horizons. I am an avid coffee lover and a bookworm. In my free time, I enjoy reading and hiking. Nature and music are my two biggest inspirations. In my...
31	2	1966	2	2	2	3	5	4	1	3	Coworker	2.0	Male	Private	I am a 50 year old Male Coworker and I work in a Private organization.	I, a Male born in 50, proudly represent the Coworker community in the Private domain.	neutral	In general, I, a Male born in 50, proudly represent the Coworker community in the Private domain.	In general, I, a Male born in 50, proudly represent the Coworker community in the Private domain. Traveling and meeting new people is my passion. I love to explore new horizons. I love to explore new horizons. I believe in continuous learning and self-improvement. I am an avid coffee lover and a bookworm. In my free time, I enjoy reading and hiking. Creativity and innovation drive me. I am an avid coffee lover and a bookworm. Helping others and giving back to the community is important to me....
32	2	1959	2	2	5	5	5	5	4	5	Coworker	2.0	Male	Private	I am a 57 year old Male Coworker and I work in a Private organization.	Being a Male from 57, my role in the Private world is Coworker.	neutral	In general, Being a Male from 57, my role in the Private world is Coworker.	In general, Being a Male from 57, my role in the Private world is Coworker. Creativity and innovation drive me. Creativity and innovation drive me. In my free time, I enjoy reading and hiking. Helping others and giving back to the community is important to me. I am an avid coffee lover and a bookworm. In my free time, I enjoy reading and hiking. I am a firm believer in the power of positivity. Nature and music are my two biggest inspirations. I am an avid coffee lover and a bookworm. Helping...
33	1	1974	2	1	4	4	5	4	2	5	Communicator	1.0	Female	Private	I am a 42 year old Female Communicator and I work in a Private organization.	I, a Female born in 42, proudly represent the Communicator community in the Private domain.	neutral	Simply put, I, a Female born in 42, proudly represent the Communicator community in the Private domain.	Simply put, I, a Female born in 42, proudly represent the Communicator community in the Private domain. I am a firm believer in the power of positivity. I am always up for a new adventure. Creativity and innovation drive me. I love to explore new horizons. I am always up for a new adventure. I am an avid coffee lover and a bookworm. Traveling and meeting new people is my passion. Traveling and meeting new people is my passion. I believe in continuous learning and self-improvement. I am a firm...
34	2	1990	2	2	4	4	4	4	4	5	Coworker	2.0	Male	Private	I am a 26 year old Male Coworker and I work in a Private organization.	As a Male aged 26, I work as a Coworker in the Private sector.	negative	I regret to say that As a Male aged 26, I work as a Coworker in the Private sector.	I regret to say that As a Male aged 26, I work as a Coworker in the Private sector. Creativity and innovation drive me. I am always up for a new adventure. I am a firm believer in the power of positivity. Helping others and giving back to the community is important to me. Traveling and meeting new people is my passion. Nature and music are my two biggest inspirations. I am an avid coffee lover and a bookworm. I am a firm believer in the power of positivity. I am an avid coffee lover and a...
35	1	1963	2	2	5	3	2	4	3	5	Coworker	1.0	Female	Private	I am a 53 year old Female Coworker and I work in a Private organization.	As a Female aged 53, I work as a Coworker in the Private sector.	negative	I regret to say that As a Female aged 53, I work as a Coworker in the Private sector.	I regret to say that As a Female aged 53, I work as a Coworker in the Private sector. I am a firm believer in the power of positivity. I am an avid coffee lover and a bookworm. Creativity and innovation drive me. Helping others and giving back to the community is important to me. Creativity and innovation drive me. I am always up for a new adventure. Creativity and innovation drive me. Traveling and meeting new people is my passion. I am always up for a new adventure. In my free time, I enjoy...
36	2	1961	2	2	4	3	1	1	4	2	Coworker	2.0	Male	Private	I am a 55 year old Male Coworker and I work in a Private organization.	Being a Male from 55, my role in the Private world is Coworker.	positive	I am happy to say that Being a Male from 55, my role in the Private world is Coworker.	I am happy to say that Being a Male from 55, my role in the Private world is Coworker. I am an avid coffee lover and a bookworm. Helping others and giving back to the community is important to me. In my free time, I enjoy reading and hiking. I love to explore new horizons. I am an avid coffee lover and a bookworm. Nature and music are my two biggest inspirations. Traveling and meeting new people is my passion. Nature and music are my two biggest inspirations. I am always up for a new adventure.
37	2	1965	2	2	5	5	4	4	4	5	Coworker	2.0	Male	Private	I am a 51 year old Male Coworker and I work in a Private organization.	As a Male aged 51, I work as a Coworker in the Private sector.	neutral	In general, As a Male aged 51, I work as a Coworker in the Private sector.	In general, As a Male aged 51, I work as a Coworker in the Private sector. Nature and music are my two biggest inspirations. Traveling and meeting new people is my passion. I am a firm believer in the power of positivity. In my free time, I enjoy reading and hiking. I am an avid coffee lover and a bookworm. Helping others and giving back to the community is important to me. I love to explore new horizons. I love to explore new horizons. I am a firm believer in the power of positivity. I am a...
38	2	1958	2	2	5	4	4	4	3	5	Coworker	2.0	Male	Private	I am a 58 year old Male Coworker and I work in a Private organization.	I, a Male born in 58, proudly represent the Coworker community in the Private domain.	positive	I am happy to say that I, a Male born in 58, proudly represent the Coworker community in the Private domain.	I am happy to say that I, a Male born in 58, proudly represent the Coworker community in the Private domain. Helping others and giving back to the community is important to me. Nature and music are my two biggest inspirations. Helping others and giving back to the community is important to me. I am always up for a new adventure. Helping others and giving back to the community is important to me. I am a firm believer in the power of positivity. Helping others and giving back to the community...
39	1	1969	2	2	4	5	5	4	4	5	Coworker	1.0	Female	Private	I am a 47 year old Female Coworker and I work in a Private organization.	I, a Female born in 47, proudly represent the Coworker community in the Private domain.	negative	I wish it weren't so, but I, a Female born in 47, proudly represent the Coworker community in the Private domain.	I wish it weren't so, but I, a Female born in 47, proudly represent the Coworker community in the Private domain. Nature and music are my two biggest inspirations. Traveling and meeting new people is my passion. I believe in continuous learning and self-improvement. I believe in continuous learning and self-improvement. Creativity and innovation drive me. I believe in continuous learning and self-improvement. I am a firm believer in the power of positivity. Traveling and meeting new people is...
40	2	1953	2	2	4	4	4	4	4	4	Coworker	2.0	Male	Private	I am a 63 year old Male Coworker and I work in a Private organization.	In the Private industry, I serve as a Coworker and I'm a Male born in 63.	neutral	In general, In the Private industry, I serve as a Coworker and I'm a Male born in 63.	In general, In the Private industry, I serve as a Coworker and I'm a Male born in 63. Nature and music are my two biggest inspirations. In my free time, I enjoy reading and hiking. Nature and music are my two biggest inspirations. Traveling and meeting new people is my passion. Creativity and innovation drive me. In my free time, I enjoy reading and hiking. Nature and music are my two biggest inspirations. Helping others and giving back to the community is important to me. Traveling and...
41	2	1975	2	2	4	3	2	3	2	5	Coworker	2.0	Male	Private	I am a 41 year old Male Coworker and I work in a Private organization.	I, a Male born in 41, proudly represent the Coworker community in the Private domain.	negative	I regret to say that I, a Male born in 41, proudly represent the Coworker community in the Private domain.	I regret to say that I, a Male born in 41, proudly represent the Coworker community in the Private domain. In my free time, I enjoy reading and hiking. In my free time, I enjoy reading and hiking. I love to explore new horizons. Creativity and innovation drive me. Nature and music are my two biggest inspirations. Helping others and giving back to the community is important to me. Helping others and giving back to the community is important to me. I am a firm believer in the power of positivity.
42	1	1960	2	1	4	4	5	4	3	5	Communicator	1.0	Female	Private	I am a 56 year old Female Communicator and I work in a Private organization.	In the Private industry, I serve as a Communicator and I'm a Female born in 56.	positive	I am happy to say that In the Private industry, I serve as a Communicator and I'm a Female born in 56.	I am happy to say that In the Private industry, I serve as a Communicator and I'm a Female born in 56. I am an avid coffee lover and a bookworm. Creativity and innovation drive me. Traveling and meeting new people is my passion. Helping others and giving back to the community is important to me. Creativity and innovation drive me. I am a firm believer in the power of positivity. I am a firm believer in the power of positivity. Creativity and innovation drive me. I am an avid coffee lover and...
43	2	1972	2	2	4	5	4	5	2	4	Coworker	2.0	Male	Private	I am a 44 year old Male Coworker and I work in a Private organization.	As a Male aged 44, I work as a Coworker in the Private sector.	negative	I wish it weren't so, but As a Male aged 44, I work as a Coworker in the Private sector.	I wish it weren't so, but As a Male aged 44, I work as a Coworker in the Private sector. I am a firm believer in the power of positivity. I am an avid coffee lover and a bookworm. I love to explore new horizons. I am a firm believer in the power of positivity. I am a firm believer in the power of positivity. Creativity and innovation drive me. In my free time, I enjoy reading and hiking. I am a firm believer in the power of positivity. Traveling and meeting new people is my passion. I am an...
44	2	1953	2	2	4	4	4	4	4	4	Coworker	2.0	Male	Private	I am a 63 year old Male Coworker and I work in a Private organization.	As a Male aged 63, I work as a Coworker in the Private sector.	negative	I wish it weren't so, but As a Male aged 63, I work as a Coworker in the Private sector.	I wish it weren't so, but As a Male aged 63, I work as a Coworker in the Private sector. I am a firm believer in the power of positivity. Helping others and giving back to the community is important to me. I am a firm believer in the power of positivity. I am a firm believer in the power of positivity. Traveling and meeting new people is my passion. Helping others and giving back to the community is important to me. Traveling and meeting new people is my passion. Traveling and meeting new...
45	2	1966	2	1	4	4	2	2	3	5	Communicator	2.0	Male	Private	I am a 50 year old Male Communicator and I work in a Private organization.	As a Male aged 50, I work as a Communicator in the Private sector.	negative	Unfortunately, As a Male aged 50, I work as a Communicator in the Private sector.	Unfortunately, As a Male aged 50, I work as a Communicator in the Private sector. Nature and music are my two biggest inspirations. Creativity and innovation drive me. Creativity and innovation drive me. In my free time, I enjoy reading and hiking. I am always up for a new adventure. I love to explore new horizons. I am an avid coffee lover and a bookworm. Helping others and giving back to the community is important to me. I am always up for a new adventure. Traveling and meeting new people...
46	2	1969	2	3	4	4	2	3	4	4	Manager	2.0	Male	Private	I am a 47 year old Male Manager and I work in a Private organization.	In the Private industry, I serve as a Manager and I'm a Male born in 47.	positive	Fortunately, In the Private industry, I serve as a Manager and I'm a Male born in 47.	Fortunately, In the Private industry, I serve as a Manager and I'm a Male born in 47. Creativity and innovation drive me. Traveling and meeting new people is my passion. I am always up for a new adventure. Traveling and meeting new people is my passion. Helping others and giving back to the community is important to me. Helping others and giving back to the community is important to me. I am always up for a new adventure. Nature and music are my two biggest inspirations. I am an avid coffee...
48	1	1981	2	2	4	4	2	2	2	3	Coworker	1.0	Female	Private	I am a 35 year old Female Coworker and I work in a Private organization.	As a Female aged 35, I work as a Coworker in the Private sector.	positive	I am happy to say that As a Female aged 35, I work as a Coworker in the Private sector.	I am happy to say that As a Female aged 35, I work as a Coworker in the Private sector. Creativity and innovation drive me. I love to explore new horizons. I love to explore new horizons. I am a firm believer in the power of positivity. Creativity and innovation drive me. I believe in continuous learning and self-improvement. Traveling and meeting new people is my passion. Helping others and giving back to the community is important to me. In my free time, I enjoy reading and hiking. In my...
49	2	1956	2	1	4	4	5	4	3	4	Communicator	2.0	Male	Private	I am a 60 year old Male Communicator and I work in a Private organization.	In the Private industry, I serve as a Communicator and I'm a Male born in 60.	negative	I regret to say that In the Private industry, I serve as a Communicator and I'm a Male born in 60.	I regret to say that In the Private industry, I serve as a Communicator and I'm a Male born in 60. I am an avid coffee lover and a bookworm. Creativity and innovation drive me. I am an avid coffee lover and a bookworm. I am a firm believer in the power of positivity. I am an avid coffee lover and a bookworm. I love to explore new horizons. I am always up for a new adventure. Nature and music are my two biggest inspirations. Nature and music are my two biggest inspirations. I am a firm...
50	1	1972	2	2	5	4	5	5	4	5	Coworker	1.0	Female	Private	I am a 44 year old Female Coworker and I work in a Private organization.	I, a Female born in 44, proudly represent the Coworker community in the Private domain.	positive	I am proud that I, a Female born in 44, proudly represent the Coworker community in the Private domain.	I am proud that I, a Female born in 44, proudly represent the Coworker community in the Private domain. Creativity and innovation drive me. I am a firm believer in the power of positivity. I am an avid coffee lover and a bookworm. Nature and music are my two biggest inspirations. Traveling and meeting new people is my passion. Traveling and meeting new people is my passion. Traveling and meeting new people is my passion. In my free time, I enjoy reading and hiking. I believe in continuous...
51	2	1964	2	1	5	4	4	5	4	5	Communicator	2.0	Male	Private	I am a 52 year old Male Communicator and I work in a Private organization.	As a Male aged 52, I work as a Communicator in the Private sector.	positive	Fortunately, As a Male aged 52, I work as a Communicator in the Private sector.	Fortunately, As a Male aged 52, I work as a Communicator in the Private sector. I am an avid coffee lover and a bookworm. I am always up for a new adventure. Creativity and innovation drive me. Creativity and innovation drive me. Creativity and innovation drive me. In my free time, I enjoy reading and hiking. Creativity and innovation drive me. Creativity and innovation drive me. I love to explore new horizons. I am an avid coffee lover and a bookworm. In my free time, I enjoy reading and...
52	1	1982	2	2	2	2	2	2	1	2	Coworker	1.0	Female	Private	I am a 34 year old Female Coworker and I work in a Private organization.	As a Female aged 34, I work as a Coworker in the Private sector.	neutral	It is a fact that As a Female aged 34, I work as a Coworker in the Private sector.	It is a fact that As a Female aged 34, I work as a Coworker in the Private sector. Helping others and giving back to the community is important to me. I am an avid coffee lover and a bookworm. I love to explore new horizons. I believe in continuous learning and self-improvement. In my free time, I enjoy reading and hiking. Nature and music are my two biggest inspirations. I am always up for a new adventure. Helping others and giving back to the community is important to me. I love to explore...
53	1	1973	2	2	4	5	5	5	4	5	Coworker	1.0	Female	Private	I am a 43 year old Female Coworker and I work in a Private organization.	As a Female aged 43, I work as a Coworker in the Private sector.	negative	I wish it weren't so, but As a Female aged 43, I work as a Coworker in the Private sector.	I wish it weren't so, but As a Female aged 43, I work as a Coworker in the Private sector. In my free time, I enjoy reading and hiking. Nature and music are my two biggest inspirations. I believe in continuous learning and self-improvement. I am a firm believer in the power of positivity. I am always up for a new adventure. I am a firm believer in the power of positivity. I love to explore new horizons. I love to explore new horizons. I am an avid coffee lover and a bookworm. Nature and music...
54	2	1957	2	2	4	4	4	4	2	3	Coworker	2.0	Male	Private	I am a 59 year old Male Coworker and I work in a Private organization.	Being a Male from 59, my role in the Private world is Coworker.	negative	Unfortunately, Being a Male from 59, my role in the Private world is Coworker.	Unfortunately, Being a Male from 59, my role in the Private world is Coworker. I am a firm believer in the power of positivity. I believe in continuous learning and self-improvement. I am always up for a new adventure. Creativity and innovation drive me. I am an avid coffee lover and a bookworm. I am always up for a new adventure. I am an avid coffee lover and a bookworm. Helping others and giving back to the community is important to me. Traveling and meeting new people is my passion. I am...
55	1	1971	2	2	4	5	2	5	2	5	Coworker	1.0	Female	Private	I am a 45 year old Female Coworker and I work in a Private organization.	I, a Female born in 45, proudly represent the Coworker community in the Private domain.	negative	Unfortunately, I, a Female born in 45, proudly represent the Coworker community in the Private domain.	Unfortunately, I, a Female born in 45, proudly represent the Coworker community in the Private domain. I am an avid coffee lover and a bookworm. I love to explore new horizons. I am a firm believer in the power of positivity. I believe in continuous learning and self-improvement. I believe in continuous learning and self-improvement. Traveling and meeting new people is my passion. Creativity and innovation drive me. In my free time, I enjoy reading and hiking. Helping others and giving back...
